City,Count,LatLong
Bangalore,8384,"12.954094298007135, 77.63093949999995"
Pune,3616,"18.524220910029797, 73.86468890000003"
Chennai,2878,"13.034053366154168, 80.20692110000005"
Hyderabad,1103,"17.408988979962423, 78.4657496499999"
Others,904,"9.927339453,	76.2668541"
Gurgoan,611,"28.424905852627113, 76.98978175000002"
Kolkatta,298,"22.676351975142673, 88.36805555000001"
Mysore,126,"12.305328412587707, 76.64114689999997"
Guwahati,53,"26.151123586398626, 91.71661374999996"
Mumbai,11,"19.082542865129508, 72.88120415000003"
