IP,Division,Location,Tower,Floor,Wing,Subnet,SubnetCat,SubnetMask,No of hosts,Host range,Latitude,Longitude,City
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.201.94.14,ACME-INC,ACME8,Tower-14,Floor-1,No Wing,11.201.94.0,ACME Backbone,255.255.255.0,254,11.201.94.1 -> 11.201.94.254,13.83690539,77.65644436,Bangalore
11.113.42.251,ACME-INC,ACME11,Tower-S2,No Floor,No Wing,11.113.42.0,ACME Backbone,255.255.255.0,254,11.113.42.1 -> 11.113.42.254,19.599075,73.719844,Pune
11.201.95.131,ACME-INC,ACME8,Tower-14,Floor-2,No Wing,11.201.95.0,ACME Backbone,255.255.255.0,254,11.201.95.1 -> 11.201.95.254,13.83690539,77.65644436,Bangalore
192.168.172.2,ACME-INC,ACME3,Tower-1,Floor-3,No Wing,192.168.172.0,ACME Backbone,255.255.255.0,254,192.168.172.1 -> 192.168.172.254,13.83854048,77.66206625,Bangalore
11.111.32.58,ACME-INC,ACME1,Tower-2,No Floor,No Wing,11.111.32.0,ACME Backbone,255.255.255.0,254,11.111.32.1 -> 11.111.32.254,19.596873,73.718648,Pune
11.111.32.58,ACME-INC,ACME1,Tower-2,No Floor,No Wing,11.111.32.0,ACME Backbone,255.255.255.0,254,11.111.32.1 -> 11.111.32.254,19.596873,73.718648,Pune
11.111.121.42,ACME-INC,ACME1,Tower-3,No Floor,No Wing,11.111.121.0,ACME Backbone,255.255.255.0,254,11.111.121.1 -> 11.111.121.254,19.596873,73.718648,Pune
11.142.180.128,ACME-INC,ACME4,Tower-S8,Floor-1,Wing-B,11.142.180.0,ACME Backbone,255.255.255.0,254,11.142.180.1 -> 11.142.180.254,13.90539243,80.22084464,Chennai
11.203.37.160,ACME-INC,ACME5,Tower-7,Floor-2,No Wing,11.203.37.128,ACME Backbone,255.255.255.192,62,11.203.37.129 -> 11.203.37.190,13.83726629,77.66002779,Bangalore
11.141.83.12,ACME-INC,ACME18,Tower-4,Floor-3,RHS,11.141.83.0,ACME Backbone,255.255.255.0,254,11.141.83.1 -> 11.141.83.254,23.579073,88.428575,Kolkatta
11.145.11.61,ACME-INC,ACME12,Tower-2,Floor-1,Wing-A,11.145.11.0,ACME Backbone,255.255.255.0,254,11.145.11.1 -> 11.145.11.254,13.908554,80.226524,Chennai
11.145.11.61,ACME-INC,ACME12,Tower-2,Floor-1,Wing-A,11.145.11.0,ACME Backbone,255.255.255.0,254,11.145.11.1 -> 11.145.11.254,13.908554,80.226524,Chennai
192.168.172.91,ACME-INC,ACME3,Tower-1,Floor-3,No Wing,192.168.172.0,ACME Backbone,255.255.255.0,254,192.168.172.1 -> 192.168.172.254,13.83854048,77.66206625,Bangalore
192.168.187.58,ACME-INC,ACME3,Tower-3,Floor-1,No Wing,192.168.187.0,ACME Backbone,255.255.255.0,254,192.168.187.1 -> 192.168.187.254,13.83834971,77.66170583,Bangalore
192.168.187.58,ACME-INC,ACME3,Tower-3,Floor-1,No Wing,192.168.187.0,ACME Backbone,255.255.255.0,254,192.168.187.1 -> 192.168.187.254,13.83834971,77.66170583,Bangalore
11.140.225.59,ACME-INC,ACME23,Tower-5,Ground Floor,LHS,11.140.225.0,ACME Backbone,255.255.255.128,126,11.140.225.1 -> 11.140.225.126,23.57977832,88.42843205,Kolkatta
11.140.225.59,ACME-INC,ACME23,Tower-5,Ground Floor,LHS,11.140.225.0,ACME Backbone,255.255.255.128,126,11.140.225.1 -> 11.140.225.126,23.57977832,88.42843205,Kolkatta
192.168.187.58,ACME-INC,ACME3,Tower-3,Floor-1,No Wing,192.168.187.0,ACME Backbone,255.255.255.0,254,192.168.187.1 -> 192.168.187.254,13.83834971,77.66170583,Bangalore
11.140.225.59,ACME-INC,ACME23,Tower-5,Ground Floor,LHS,11.140.225.0,ACME Backbone,255.255.255.128,126,11.140.225.1 -> 11.140.225.126,23.57977832,88.42843205,Kolkatta
11.140.225.59,ACME-INC,ACME23,Tower-5,Ground Floor,LHS,11.140.225.0,ACME Backbone,255.255.255.128,126,11.140.225.1 -> 11.140.225.126,23.57977832,88.42843205,Kolkatta
11.140.225.59,ACME-INC,ACME23,Tower-5,Ground Floor,LHS,11.140.225.0,ACME Backbone,255.255.255.128,126,11.140.225.1 -> 11.140.225.126,23.57977832,88.42843205,Kolkatta
192.168.187.58,ACME-INC,ACME3,Tower-3,Floor-1,No Wing,192.168.187.0,ACME Backbone,255.255.255.0,254,192.168.187.1 -> 192.168.187.254,13.83834971,77.66170583,Bangalore
11.111.121.42,ACME-INC,ACME1,Tower-3,No Floor,No Wing,11.111.121.0,ACME Backbone,255.255.255.0,254,11.111.121.1 -> 11.111.121.254,19.596873,73.718648,Pune
11.111.121.42,ACME-INC,ACME1,Tower-3,No Floor,No Wing,11.111.121.0,ACME Backbone,255.255.255.0,254,11.111.121.1 -> 11.111.121.254,19.596873,73.718648,Pune
192.168.187.58,ACME-INC,ACME3,Tower-3,Floor-1,No Wing,192.168.187.0,ACME Backbone,255.255.255.0,254,192.168.187.1 -> 192.168.187.254,13.83834971,77.66170583,Bangalore
11.100.24.118,ACME-INC,ACME6,No Tower,Floor-1,No Wing,11.100.24.0,Device Management,255.255.255.128,126,11.100.24.1 -> 11.100.24.126,18.346481,78.550958,Hyderabad
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
192.168.0.12,ACME-INC,ACME1,Tower-1,No Floor,Wing-A,192.168.14.128,Device Management,255.255.128.0,32766,192.168.0.1 -> 192.168.127.254,19.596873,73.718648,Pune
192.168.0.12,ACME-INC,ACME1,Tower-1,No Floor,Wing-A,192.168.14.128,Device Management,255.255.128.0,32766,192.168.0.1 -> 192.168.127.254,19.596873,73.718648,Pune
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
11.200.192.205,ACME-INC,ACME5,Tower-6,Ground Floor,No Wing,11.200.192.0,ACME Backbone,255.255.255.0,254,11.200.192.1 -> 11.200.192.254,13.83832281,77.66013508,Bangalore
